state,party,district,name,office_room,phone,committee,page_link
Alabama,D,7th,"Sewell, Terri",1035 LHOB,(202) 225-2665,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means,https://sewell.house.gov/
Alabama,R,1st,"Carl, Jerry",1330 LHOB,(202) 225-4931,Appropriations|Natural Resources,https://carl.house.gov
Alaska,D,At Large,"Peltola, Mary",153 CHOB,(202) 225-5765,Natural Resources|Transportation and Infrastructure,https://peltola.house.gov
American Samoa,R,Delegate,"Radewagen, Aumua Amata",2001 RHOB,(202) 225-8577,Foreign Affairs|Natural Resources|Veterans' Affairs,https://radewagen.house.gov
Arizona,D,3rd,"Gallego, Ruben",1114 LHOB,(202) 225-4065,Armed Services|Natural Resources,https://rubengallego.house.gov/
Arizona,R,1st,"Schweikert, David",460 CHOB,(202) 225-2190,Ways and Means,https://schweikert.house.gov/
Arkansas,R,1st,"Crawford, Eric",2422 RHOB,(202) 225-4076,"Agriculture|Intelligence|Transportation and Infrastructure|Science, Space, and Technology",https://crawford.house.gov/
California,D,2nd,"Huffman, Jared",2445 RHOB,(202) 225-5161,Natural Resources|Transportation and Infrastructure,https://huffman.house.gov
California,R,1st,"LaMalfa, Doug",408 CHOB,(202) 225-3076,Agriculture|Natural Resources|Transportation and Infrastructure,https://lamalfa.house.gov
Colorado,D,1st,"DeGette, Diana",2111 RHOB,(202) 225-4431,Energy and Commerce,https://degette.house.gov
Colorado,R,3rd,"Boebert, Lauren",1713 LHOB,(202) 225-4761,Oversight and Accountability|Natural Resources,https://boebert.house.gov
Connecticut,D,1st,"Larson, John",1501 LHOB,(202) 225-2265,Ways and Means,https://larson.house.gov/
Delaware,D,At Large,"Blunt Rochester, Lisa",1724 LHOB,(202) 225-4165,Energy and Commerce,https://bluntrochester.house.gov
District of Columbia,D,Delegate,"Norton, Eleanor",2136 RHOB,(202) 225-8050,Oversight and Accountability|Transportation and Infrastructure,https://norton.house.gov/
Florida,D,9th,"Soto, Darren",2353 RHOB,(202) 225-9889,Agriculture|Energy and Commerce,https://soto.house.gov
Florida,R,1st,"Gaetz, Matt",2021 RHOB,(202) 225-4136,Armed Services|Select Subcommittee on the Weaponization of the Fed Govt|Judiciary,https://gaetz.house.gov
Georgia,D,2nd,"Bishop, Sanford",2407 RHOB,(202) 225-3631,Agriculture|Appropriations,https://bishop.house.gov/
Georgia,R,1st,"Carter, Earl",2432 RHOB,(202) 225-5831,Budget|Energy and Commerce,https://buddycarter.house.gov/
Guam,R,Delegate,"Moylan, James",1628 LHOB,(202) 225-1188,Armed Services|Foreign Affairs|Natural Resources,https://moylan.house.gov
Hawaii,D,1st,"Case, Ed",2210 RHOB,(202) 225-2726,Appropriations|Natural Resources,https://case.house.gov/
Idaho,R,1st,"Fulcher, Russ",1514 LHOB,(202) 225-6611,Energy and Commerce|Natural Resources,https://fulcher.house.gov/
Illinois,D,1st,"Jackson, Jonathan",1641 LHOB,(202) 225-4372,Agriculture|Foreign Affairs,https://jonathanjackson.house.gov
Illinois,R,12th,"Bost, Mike",352 CHOB,(202) 225-5661,Agriculture|Transportation and Infrastructure|Veterans' Affairs,https://bost.house.gov/
Indiana,D,1st,"Mrvan, Frank",1607 LHOB,(202) 225-2461,Education and the Workforce|Veterans' Affairs,https://mrvan.house.gov
Indiana,R,2nd,"Yakym, Rudy",349 CHOB,(202) 225-3915,Budget|Transportation and Infrastructure,https://yakym.house.gov
Iowa,R,1st,"Miller-Meeks, Mariannette",1034 LHOB,(202) 225-6576,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic|Veterans' Affairs,https://millermeeks.house.gov/
Kansas,D,3rd,"Davids, Sharice",2435 RHOB,(202) 225-2865,Agriculture|Transportation and Infrastructure|Small Business,https://davids.house.gov/
Kansas,R,1st,"Mann, Tracey",344 CHOB,(202) 225-2715,Agriculture|Transportation and Infrastructure|Small Business,https://mann.house.gov
Kentucky,D,3rd,"McGarvey, Morgan",1527 LHOB,(202) 225-5401,Small Business|Veterans' Affairs,https://mcgarvey.house.gov
Kentucky,R,1st,"Comer, James",2410 RHOB,(202) 225-3115,Education and the Workforce|Oversight and Accountability,https://comer.house.gov/
Louisiana,D,2nd,"Carter, Troy",442 CHOB,(202) 225-6636,Homeland Security|Transportation and Infrastructure,https://troycarter.house.gov
Louisiana,R,1st,"Scalise, Steve",2049 RHOB,(202) 225-3015,,https://scalise.house.gov/
Maine,D,1st,"Pingree, Chellie",2354 RHOB,(202) 225-6116,Agriculture|Appropriations,https://pingree.house.gov/
Maryland,D,2nd,"Ruppersberger, C.",2206 RHOB,(202) 225-3061,Appropriations,https://ruppersberger.house.gov
Maryland,R,1st,"Harris, Andy",1536 LHOB,(202) 225-5311,Appropriations,https://harris.house.gov/
Massachusetts,D,1st,"Neal, Richard",372 CHOB,(202) 225-5601,Joint Committee on Taxation|Ways and Means,https://neal.house.gov/
Michigan,D,3rd,"Scholten, Hillary",1317 LHOB,(202) 225-3831,Transportation and Infrastructure|Small Business,https://scholten.house.gov
Michigan,R,1st,"Bergman, Jack",566 CHOB,(202) 225-4735,Armed Services|Budget|Veterans' Affairs,https://bergman.house.gov
Minnesota,D,2nd,"Craig, Angie",2442 RHOB,(202) 225-2271,Agriculture|Energy and Commerce,https://craig.house.gov
Minnesota,R,1st,"Finstad, Brad",1605 LHOB,(202) 225-2472,Agriculture|Armed Services,https://finstad.house.gov/
Mississippi,D,2nd,"Thompson, Bennie",2466 RHOB,(202) 225-5876,Homeland Security,https://benniethompson.house.gov/
Mississippi,R,1st,"Kelly, Trent",2243 RHOB,(202) 225-4306,Agriculture|Armed Services|Intelligence,https://trentkelly.house.gov/
Missouri,D,1st,"Bush, Cori",2463 RHOB,(202) 225-2406,Oversight and Accountability|Judiciary,https://bush.house.gov
Missouri,R,2nd,"Wagner, Ann",2350 RHOB,(202) 225-1621,Financial Services|Foreign Affairs,https://wagner.house.gov
Montana,R,1st,"Zinke, Ryan",512 CHOB,(202) 225-5628,Appropriations|Foreign Affairs,https://zinke.house.gov
Nebraska,R,1st,"Flood, Mike",343 CHOB,(202) 225-4806,Financial Services,https://flood.house.gov/
Nevada,D,1st,"Titus, Dina",2464 RHOB,(202) 225-5965,Foreign Affairs|Transportation and Infrastructure,https://titus.house.gov/
Nevada,R,2nd,"Amodei, Mark",104 CHOB,(202) 225-6155,Appropriations,https://amodei.house.gov
New Hampshire,D,1st,"Pappas, Chris",452 CHOB,(202) 225-5456,Transportation and Infrastructure|Small Business|Veterans' Affairs,https://pappas.house.gov
New Jersey,D,1st,"Norcross, Donald",2427 RHOB,(202) 225-6501,Armed Services|Education and the Workforce,https://norcross.house.gov
New Jersey,R,2nd,"Van Drew, Jefferson",2447 RHOB,(202) 225-6572,Judiciary|Transportation and Infrastructure,https://vandrew.house.gov
New Mexico,D,1st,"Stansbury, Melanie",1421 LHOB,(202) 225-6316,Oversight and Accountability|Natural Resources,https://stansbury.house.gov/
New York,D,3rd,"Suozzi, Thomas R.",1117 LHOB,(202) 225-3335,Budget|Homeland Security,https://suozzi.house.gov
New York,R,1st,"LaLota, Nick",1530 LHOB,(202) 225-3826,Armed Services|Homeland Security|Small Business,https://lalota.house.gov
North Carolina,D,1st,"Davis, Donald",1123 LHOB,(202) 225-3101,Agriculture|Armed Services,https://dondavis.house.gov
North Carolina,R,3rd,"Murphy, Gregory",407 CHOB,(202) 225-3415,House Administration|Veterans' Affairs|Ways and Means,https://murphy.house.gov
North Dakota,R,At Large,"Armstrong, Kelly",2235 RHOB,(202) 225-2611,Select Subcommittee on the Weaponization of the Fed Govt|Energy and Commerce|Judiciary,https://armstrong.house.gov
Northern Mariana Islands,D,Delegate,"Sablan, Gregorio",2267 RHOB,(202) 225-2646,Education and the Workforce|Natural Resources,https://sablan.house.gov/
Ohio,D,1st,"Landsman, Greg",1432 LHOB,(202) 225-2216,Small Business|Veterans' Affairs,https://landsman.house.gov
Ohio,R,2nd,"Wenstrup, Brad",2335 RHOB,(202) 225-3164,Intelligence|Select Subcommittee on the Coronavirus Pandemic|Ways and Means,https://wenstrup.house.gov
Oklahoma,R,1st,"Hern, Kevin",1019 LHOB,(202) 225-2211,Ways and Means,https://hern.house.gov
Oregon,D,1st,"Bonamici, Suzanne",2231 RHOB,(202) 225-0855,"Education and the Workforce|Science, Space, and Technology",https://bonamici.house.gov
Oregon,R,2nd,"Bentz, Cliff",409 CHOB,(202) 225-6730,Natural Resources|Judiciary,https://bentz.house.gov
Pennsylvania,D,2nd,"Boyle, Brendan",1502 LHOB,(202) 225-6111,Budget,https://boyle.house.gov/
Pennsylvania,R,1st,"Fitzpatrick, Brian",271 CHOB,(202) 225-4276,Intelligence|Ways and Means,https://fitzpatrick.house.gov/
Puerto Rico,R,Resident Commissioner,"Gonzalez-Colon, Jenniffer",2338 RHOB,(202) 225-2615,Natural Resources|Transportation and Infrastructure,https://gonzalez-colon.house.gov
Rhode Island,D,1st,"Amo, Gabe",2233 RHOB,(202) 225-4911,"Foreign Affairs|Science, Space, and Technology",https://amo.house.gov
South Carolina,D,6th,"Clyburn, James",274 CHOB,(202) 225-3315,,https://clyburn.house.gov/
South Carolina,R,1st,"Mace, Nancy",1728 LHOB,(202) 225-3176,Armed Services|Oversight and Accountability|Veterans' Affairs,https://mace.house.gov
South Dakota,R,At Large,"Johnson, Dusty",1714 LHOB,(202) 225-2801,Agriculture|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China,https://dustyjohnson.house.gov/
Tennessee,D,9th,"Cohen, Steve",2268 RHOB,(202) 225-3265,Judiciary|Transportation and Infrastructure,https://cohen.house.gov/
Tennessee,R,1st,"Harshbarger, Diana",167 CHOB,(202) 225-6356,Energy and Commerce,https://harshbarger.house.gov
Texas,D,7th,"Fletcher, Lizzie",346 CHOB,(202) 225-2571,Energy and Commerce,https://fletcher.house.gov
Texas,R,1st,"Moran, Nathaniel",1541 LHOB,(202) 225-3035,Education and the Workforce|Foreign Affairs|Judiciary,https://moran.house.gov
Utah,R,1st,"Moore, Blake",1131 LHOB,(202) 225-0453,Budget|Ways and Means,https://blakemoore.house.gov
Vermont,D,At Large,"Balint, Becca",1408 LHOB,(202) 225-4115,Budget|Judiciary,https://balint.house.gov
Virgin Islands,D,Delegate,"Plaskett, Stacey",2059 RHOB,(202) 225-1790,Select Subcommittee on the Weaponization of the Fed Govt|Intelligence,https://plaskett.house.gov/
Virginia,D,3rd,"Scott, Robert",2328 RHOB,(202) 225-8351,Budget|Education and the Workforce,https://bobbyscott.house.gov
Virginia,R,1st,"Wittman, Robert",2055 RHOB,(202) 225-4261,Armed Services|Natural Resources|Select Comm on the Strategic Competition US and China,https://wittman.house.gov/
Washington,D,1st,"DelBene, Suzan",2330 RHOB,(202) 225-6311,Ways and Means,https://delbene.house.gov
Washington,R,4th,"Newhouse, Dan",504 CHOB,(202) 225-5816,Appropriations|Select Comm on the Strategic Competition US and China,https://newhouse.house.gov
West Virginia,R,1st,"Miller, Carol",465 CHOB,(202) 225-3452,Ways and Means,https://miller.house.gov/
Wisconsin,D,2nd,"Pocan, Mark",1026 LHOB,(202) 225-2906,Appropriations,https://pocan.house.gov
Wisconsin,R,1st,"Steil, Bryan",1526 LHOB,(202) 225-3031,Financial Services|House Administration|Joint Committee of Congress on the Library,https://steil.house.gov
Wyoming,R,At Large,"Hageman, Harriet",1531 LHOB,(202) 225-2311,Select Subcommittee on the Weaponization of the Fed Govt|Natural Resources|Judiciary,https://hageman.house.gov
