Unnamed: 0,state,district,name,party,committee,page_link
0,Alabama,1st,"Carl, Jerry",R,Appropriations|Natural Resources,https://carl.house.gov
1,Alabama,2nd,"Moore, Barry",R,Agriculture|Judiciary,https://barrymoore.house.gov
2,Alabama,3rd,"Rogers, Mike",R,Armed Services,https://mikerogers.house.gov/
3,Alabama,4th,"Aderholt, Robert",R,Appropriations,https://aderholt.house.gov/
4,Alabama,5th,"Strong, Dale",R,"Armed Services|Homeland Security|Science, Space, and Technology",https://strong.house.gov
5,Alabama,6th,"Palmer, Gary",R,Oversight and Accountability|Energy and Commerce,https://palmer.house.gov/
6,Alabama,7th,"Sewell, Terri",D,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means,https://sewell.house.gov/
7,Alaska,At Large,"Peltola, Mary",D,Natural Resources|Transportation and Infrastructure,https://peltola.house.gov
8,American Samoa,Delegate,"Radewagen, Aumua Amata",R,Foreign Affairs|Natural Resources|Veterans' Affairs,https://radewagen.house.gov
9,Arizona,1st,"Schweikert, David",R,Ways and Means,https://schweikert.house.gov/
10,Arizona,2nd,"Crane, Elijah",R,Homeland Security|Small Business|Veterans' Affairs,https://crane.house.gov
11,Arizona,3rd,"Gallego, Ruben",D,Armed Services|Natural Resources,https://rubengallego.house.gov/
12,Arizona,4th,"Stanton, Greg",D,Foreign Affairs|Transportation and Infrastructure,https://stanton.house.gov/
13,Arizona,5th,"Biggs, Andy",R,Oversight and Accountability|Judiciary,https://biggs.house.gov
14,Arizona,6th,"Ciscomani, Juan",R,Appropriations|Veterans' Affairs,https://ciscomani.house.gov
15,Arizona,7th,"Grijalva, Raul",D,Education and the Workforce|Natural Resources,https://grijalva.house.gov/
16,Arizona,8th,"Lesko, Debbie",R,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic,https://lesko.house.gov
17,Arizona,9th,"Gosar, Paul",R,Oversight and Accountability|Natural Resources,https://gosar.house.gov/
18,Arkansas,1st,"Crawford, Eric",R,"Agriculture|Intelligence|Transportation and Infrastructure|Science, Space, and Technology",https://crawford.house.gov/
19,Arkansas,2nd,"Hill, J.",R,Financial Services|Foreign Affairs|Intelligence,https://hill.house.gov/
20,Arkansas,3rd,"Womack, Steve",R,Appropriations,https://womack.house.gov/
21,Arkansas,4th,"Westerman, Bruce",R,Natural Resources|Transportation and Infrastructure,https://westerman.house.gov/
22,California,1st,"LaMalfa, Doug",R,Agriculture|Natural Resources|Transportation and Infrastructure,https://lamalfa.house.gov
23,California,2nd,"Huffman, Jared",D,Natural Resources|Transportation and Infrastructure,https://huffman.house.gov
24,California,3rd,"Kiley, Kevin",R,Education and the Workforce|Judiciary|Transportation and Infrastructure,https://kiley.house.gov
25,California,4th,"Thompson, Mike",D,Ways and Means,https://mikethompson.house.gov/
26,California,5th,"McClintock, Tom",R,Budget|Natural Resources|Judiciary,https://mcclintock.house.gov/
27,California,6th,"Bera, Ami",D,Foreign Affairs|Intelligence|Select Subcommittee on the Coronavirus Pandemic,https://bera.house.gov
28,California,7th,"Matsui, Doris",D,Energy and Commerce,https://matsui.house.gov
29,California,8th,"Garamendi, John",D,Armed Services|Select Subcommittee on the Weaponization of the Fed Govt|Transportation and Infrastructure,https://garamendi.house.gov/
30,California,9th,"Harder, Josh",D,Appropriations,https://harder.house.gov/
31,California,10th,"DeSaulnier, Mark",D,Education and the Workforce|Transportation and Infrastructure|Ethics,https://desaulnier.house.gov/
32,California,11th,"Pelosi, Nancy",D,,https://pelosi.house.gov/
33,California,12th,"Lee, Barbara",D,Appropriations|Budget,https://lee.house.gov/
34,California,13th,"Duarte, John",R,Agriculture|Natural Resources|Transportation and Infrastructure,https://duarte.house.gov
35,California,14th,"Swalwell, Eric",D,Homeland Security|Judiciary,https://swalwell.house.gov
36,California,15th,"Mullin, Kevin",D,"Natural Resources|Science, Space, and Technology",https://kevinmullin.house.gov
37,California,16th,"Eshoo, Anna",D,Energy and Commerce,https://eshoo.house.gov/
38,California,17th,"Khanna, Ro",D,Armed Services|Oversight and Accountability|Select Comm on the Strategic Competition US and China,https://khanna.house.gov
39,California,18th,"Lofgren, Zoe",D,"Judiciary|Science, Space, and Technology",https://lofgren.house.gov/
40,California,19th,"Panetta, Jimmy",D,Armed Services|Budget|Ways and Means,https://panetta.house.gov
41,California,20th,"Fong, Vince",R,"Transportation and Infrastructure|Science, Space, and Technology",https://fong.house.gov/
42,California,21st,"Costa, Jim",D,Agriculture|Foreign Affairs,https://costa.house.gov/
43,California,22nd,"Valadao, David",R,Appropriations|Budget|Joint Committee of Congress on the Library,https://valadao.house.gov
44,California,23rd,"Obernolte, Jay",R,"Energy and Commerce|Science, Space, and Technology",https://obernolte.house.gov
45,California,24th,"Carbajal, Salud",D,Agriculture|Armed Services|Transportation and Infrastructure,https://carbajal.house.gov
46,California,25th,"Ruiz, Raul",D,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic,https://ruiz.house.gov
47,California,26th,"Brownley, Julia",D,Transportation and Infrastructure|Veterans' Affairs,https://juliabrownley.house.gov
48,California,27th,"Garcia, Mike",R,"Appropriations|Intelligence|Science, Space, and Technology",https://mikegarcia.house.gov/
49,California,28th,"Chu, Judy",D,Small Business|Ways and Means,https://chu.house.gov/
50,California,29th,"Cardenas, Tony",D,Energy and Commerce,https://cardenas.house.gov
51,California,30th,"Schiff, Adam",D,Judiciary,https://schiff.house.gov/
52,California,31st,"Napolitano, Grace",D,Natural Resources|Transportation and Infrastructure,https://napolitano.house.gov/
53,California,32nd,"Sherman, Brad",D,Financial Services|Foreign Affairs,https://sherman.house.gov
54,California,33rd,"Aguilar, Pete",D,Appropriations,https://aguilar.house.gov/
55,California,34th,"Gomez, Jimmy",D,Intelligence|Ways and Means,https://gomez.house.gov/
56,California,35th,"Torres, Norma",D,Appropriations|House Administration,https://torres.house.gov/
57,California,36th,"Lieu, Ted",D,Foreign Affairs|Judiciary,https://lieu.house.gov/
58,California,37th,"Kamlager-Dove, Sydney",D,Foreign Affairs|Natural Resources,https://kamlager-dove.house.gov
59,California,38th,"Sanchez, Linda",D,Select Subcommittee on the Weaponization of the Fed Govt|Ways and Means,https://lindasanchez.house.gov/
60,California,39th,"Takano, Mark",D,Education and the Workforce|Veterans' Affairs,https://takano.house.gov
61,California,40th,"Kim, Young",R,Financial Services|Foreign Affairs,https://youngkim.house.gov
62,California,41st,"Calvert, Ken",R,Appropriations,https://calvert.house.gov/
63,California,42nd,"Garcia, Robert",D,Oversight and Accountability|Homeland Security|Select Subcommittee on the Coronavirus Pandemic,https://robertgarcia.house.gov
64,California,43rd,"Waters, Maxine",D,Financial Services,https://waters.house.gov
65,California,44th,"Barragan, Nanette",D,Energy and Commerce,https://barragan.house.gov
66,California,45th,"Steel, Michelle",R,Education and the Workforce|Ways and Means|Select Comm on the Strategic Competition US and China,https://steel.house.gov
67,California,46th,"Correa, J.",D,Homeland Security|Judiciary,https://correa.house.gov
68,California,47th,"Porter, Katie",D,Oversight and Accountability|Natural Resources,https://porter.house.gov/
69,California,48th,"Issa, Darrell",R,"Foreign Affairs|Select Subcommittee on the Weaponization of the Fed Govt|Judiciary|Science, Space, and Technology",https://issa.house.gov
70,California,49th,"Levin, Mike",D,Natural Resources|Veterans' Affairs,https://levin.house.gov/
71,California,50th,"Peters, Scott",D,Budget|Energy and Commerce,https://scottpeters.house.gov
72,California,51st,"Jacobs, Sara",D,Armed Services|Foreign Affairs,https://sarajacobs.house.gov
73,California,52nd,"Vargas, Juan",D,Financial Services,https://vargas.house.gov
74,Colorado,1st,"DeGette, Diana",D,Energy and Commerce,https://degette.house.gov
75,Colorado,2nd,"Neguse, Joe",D,Natural Resources|Judiciary|Rules,https://neguse.house.gov/
76,Colorado,3rd,"Boebert, Lauren",R,Oversight and Accountability|Natural Resources,https://boebert.house.gov
77,Colorado,4th,"Lopez, Greg",R,"Budget|Science, Space, and Technology",https://lopez.house.gov/
78,Colorado,5th,"Lamborn, Doug",R,Armed Services|Natural Resources,https://lamborn.house.gov/
79,Colorado,6th,"Crow, Jason",D,Foreign Affairs|Intelligence,https://crow.house.gov/
80,Colorado,7th,"Pettersen, Brittany",D,Financial Services,https://pettersen.house.gov
81,Colorado,8th,"Caraveo, Yadira",D,"Agriculture|Science, Space, and Technology",https://caraveo.house.gov
82,Connecticut,1st,"Larson, John",D,Ways and Means,https://larson.house.gov/
83,Connecticut,2nd,"Courtney, Joe",D,Armed Services|Education and the Workforce,https://courtney.house.gov/
84,Connecticut,3rd,"DeLauro, Rosa",D,Appropriations,https://delauro.house.gov/
85,Connecticut,4th,"Himes, James",D,Financial Services|Intelligence,https://himes.house.gov/
86,Connecticut,5th,"Hayes, Jahana",D,Agriculture|Education and the Workforce,https://hayes.house.gov
87,Delaware,At Large,"Blunt Rochester, Lisa",D,Energy and Commerce,https://bluntrochester.house.gov
88,District of Columbia,Delegate,"Norton, Eleanor",D,Oversight and Accountability|Transportation and Infrastructure,https://norton.house.gov/
89,Florida,1st,"Gaetz, Matt",R,Armed Services|Select Subcommittee on the Weaponization of the Fed Govt|Judiciary,https://gaetz.house.gov
90,Florida,2nd,"Dunn, Neal",R,Energy and Commerce|Select Comm on the Strategic Competition US and China,https://dunn.house.gov
91,Florida,3rd,"Cammack, Kat",R,Agriculture|Select Subcommittee on the Weaponization of the Fed Govt|Energy and Commerce,https://cammack.house.gov
92,Florida,4th,"Bean, Aaron",R,Education and the Workforce|Transportation and Infrastructure|Small Business,https://bean.house.gov
93,Florida,5th,"Rutherford, John",R,Appropriations|Ethics,https://rutherford.house.gov
94,Florida,6th,"Waltz, Michael",R,Armed Services|Foreign Affairs|Oversight and Accountability|Intelligence,https://waltz.house.gov
95,Florida,7th,"Mills, Cory",R,Armed Services|Foreign Affairs,https://mills.house.gov
96,Florida,8th,"Posey, Bill",R,"Financial Services|Science, Space, and Technology",https://posey.house.gov/
97,Florida,9th,"Soto, Darren",D,Agriculture|Energy and Commerce,https://soto.house.gov
98,Florida,10th,"Frost, Maxwell",D,"Oversight and Accountability|Science, Space, and Technology",https://frost.house.gov
99,Florida,11th,"Webster, Daniel",R,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology",https://webster.house.gov/
100,Florida,12th,"Bilirakis, Gus",R,Energy and Commerce,https://bilirakis.house.gov/
101,Florida,13th,"Luna, Anna Paulina",R,Oversight and Accountability|Natural Resources,https://luna.house.gov
102,Florida,14th,"Castor, Kathy",D,Energy and Commerce|Select Comm on the Strategic Competition US and China,https://castor.house.gov/
103,Florida,15th,"Lee, Laurel",R,House Administration|Homeland Security|Judiciary,https://laurellee.house.gov
104,Florida,16th,"Buchanan, Vern",R,Joint Committee on Taxation|Ways and Means,https://buchanan.house.gov/
105,Florida,17th,"Steube, W.",R,Select Subcommittee on the Weaponization of the Fed Govt|Ways and Means,https://steube.house.gov/
106,Florida,18th,"Franklin, Scott",R,"Appropriations|Science, Space, and Technology|Veterans' Affairs",https://franklin.house.gov
107,Florida,19th,"Donalds, Byron",R,Financial Services|Oversight and Accountability,https://donalds.house.gov
108,Florida,20th,"Cherfilus-McCormick, Sheila",D,Foreign Affairs|Veterans' Affairs,https://cherfilus-mccormick.house.gov/
109,Florida,21st,"Mast, Brian",R,Foreign Affairs|Transportation and Infrastructure,https://mast.house.gov
110,Florida,22nd,"Frankel, Lois",D,Appropriations,https://frankel.house.gov
111,Florida,23rd,"Moskowitz, Jared",D,Foreign Affairs|Oversight and Accountability,https://moskowitz.house.gov
112,Florida,24th,"Wilson, Frederica",D,Education and the Workforce|Transportation and Infrastructure,https://wilson.house.gov/
113,Florida,25th,"Wasserman Schultz, Debbie",D,Appropriations|Select Subcommittee on the Weaponization of the Fed Govt,https://wassermanschultz.house.gov/
114,Florida,26th,"Diaz-Balart, Mario",R,Appropriations,https://mariodiazbalart.house.gov/
115,Florida,27th,"Salazar, Maria",R,Foreign Affairs|Small Business,https://salazar.house.gov
116,Florida,28th,"Gimenez, Carlos",R,Armed Services|Homeland Security|Select Comm on the Strategic Competition US and China,https://gimenez.house.gov
117,Georgia,1st,"Carter, Earl",R,Budget|Energy and Commerce,https://buddycarter.house.gov/
118,Georgia,2nd,"Bishop, Sanford",D,Agriculture|Appropriations,https://bishop.house.gov/
119,Georgia,3rd,"Ferguson, A.",R,Budget|Ways and Means,https://ferguson.house.gov
120,Georgia,4th,"Johnson, Henry",D,Judiciary|Transportation and Infrastructure,https://hankjohnson.house.gov/
121,Georgia,5th,"Williams, Nikema",D,Financial Services,https://nikemawilliams.house.gov
122,Georgia,6th,"McCormick, Richard",R,"Armed Services|Foreign Affairs|Science, Space, and Technology|Select Subcommittee on the Coronavirus Pandemic",https://mccormick.house.gov
123,Georgia,7th,"McBath, Lucy",D,Education and the Workforce|Judiciary,https://mcbath.house.gov
124,Georgia,8th,"Scott, Austin",R,Agriculture|Armed Services|Intelligence|Rules,https://austinscott.house.gov/
125,Georgia,9th,"Clyde, Andrew",R,Appropriations,https://clyde.house.gov
126,Georgia,10th,"Collins, Mike",R,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology",https://collins.house.gov
127,Georgia,11th,"Loudermilk, Barry",R,Financial Services|House Administration,https://loudermilk.house.gov
128,Georgia,12th,"Allen, Rick",R,Education and the Workforce|Energy and Commerce,https://allen.house.gov
129,Georgia,13th,"Scott, David",D,Agriculture|Financial Services,https://davidscott.house.gov/
130,Georgia,14th,"Greene, Marjorie",R,Oversight and Accountability|Homeland Security|Select Subcommittee on the Coronavirus Pandemic,https://greene.house.gov
131,Guam,Delegate,"Moylan, James",R,Armed Services|Foreign Affairs|Natural Resources,https://moylan.house.gov
132,Hawaii,1st,"Case, Ed",D,Appropriations|Natural Resources,https://case.house.gov/
133,Hawaii,2nd,"Tokuda, Jill",D,Agriculture|Armed Services|Select Subcommittee on the Coronavirus Pandemic,https://tokuda.house.gov
134,Idaho,1st,"Fulcher, Russ",R,Energy and Commerce|Natural Resources,https://fulcher.house.gov/
135,Idaho,2nd,"Simpson, Michael",R,Appropriations,https://simpson.house.gov
136,Illinois,1st,"Jackson, Jonathan",D,Agriculture|Foreign Affairs,https://jonathanjackson.house.gov
137,Illinois,2nd,"Kelly, Robin",D,Energy and Commerce,https://robinkelly.house.gov/
138,Illinois,3rd,"Ramirez, Delia",D,Homeland Security|Veterans' Affairs,https://ramirez.house.gov
139,Illinois,4th,"Garcia, Jesus",D,Judiciary|Transportation and Infrastructure,https://chuygarcia.house.gov/
140,Illinois,5th,"Quigley, Mike",D,Appropriations,https://quigley.house.gov/
141,Illinois,6th,"Casten, Sean",D,"Financial Services|Science, Space, and Technology",https://casten.house.gov
142,Illinois,7th,"Davis, Danny",D,Ways and Means,https://davis.house.gov
143,Illinois,8th,"Krishnamoorthi, Raja",D,Oversight and Accountability|Intelligence|Select Comm on the Strategic Competition US and China,https://krishnamoorthi.house.gov
144,Illinois,9th,"Schakowsky, Janice",D,Budget|Energy and Commerce,https://schakowsky.house.gov
145,Illinois,10th,"Schneider, Bradley",D,Foreign Affairs|Ways and Means,https://schneider.house.gov
146,Illinois,11th,"Foster, Bill",D,Financial Services,https://foster.house.gov
147,Illinois,12th,"Bost, Mike",R,Agriculture|Transportation and Infrastructure|Veterans' Affairs,https://bost.house.gov/
148,Illinois,13th,"Budzinski, Nikki",D,Agriculture|Veterans' Affairs,https://budzinski.house.gov
149,Illinois,14th,"Underwood, Lauren",D,Appropriations,https://underwood.house.gov/
150,Illinois,15th,"Miller, Mary",R,Agriculture|Education and the Workforce,https://marymiller.house.gov
151,Illinois,16th,"LaHood, Darin",R,Intelligence|Ways and Means|Select Comm on the Strategic Competition US and China,https://lahood.house.gov/
152,Illinois,17th,"Sorensen, Eric",D,"Agriculture|Science, Space, and Technology",https://sorensen.house.gov
153,Indiana,1st,"Mrvan, Frank",D,Education and the Workforce|Veterans' Affairs,https://mrvan.house.gov
154,Indiana,2nd,"Yakym, Rudy",R,Budget|Transportation and Infrastructure,https://yakym.house.gov
155,Indiana,3rd,"Banks, Jim",R,Armed Services|Education and the Workforce|Select Comm on the Strategic Competition US and China,https://banks.house.gov
156,Indiana,4th,"Baird, James",R,"Agriculture|Foreign Affairs|Science, Space, and Technology",https://baird.house.gov/
157,Indiana,5th,"Spartz, Victoria",R,Judiciary,https://spartz.house.gov
158,Indiana,6th,"Pence, Greg",R,Energy and Commerce,https://pence.house.gov/
159,Indiana,7th,"Carson, Andre",D,Intelligence|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China,https://carson.house.gov/
160,Indiana,8th,"Bucshon, Larry",R,Energy and Commerce,https://bucshon.house.gov/
161,Indiana,9th,"Houchin, Erin",R,Financial Services|Education and the Workforce|Rules,https://houchin.house.gov
162,Iowa,1st,"Miller-Meeks, Mariannette",R,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic|Veterans' Affairs,https://millermeeks.house.gov/
163,Iowa,2nd,"Hinson, Ashley",R,Appropriations|Select Comm on the Strategic Competition US and China,https://hinson.house.gov
164,Iowa,3rd,"Nunn, Zachary",R,Agriculture|Financial Services,https://nunn.house.gov
165,Iowa,4th,"Feenstra, Randy",R,Agriculture|Ways and Means,https://feenstra.house.gov
166,Kansas,1st,"Mann, Tracey",R,Agriculture|Transportation and Infrastructure|Small Business,https://mann.house.gov
167,Kansas,2nd,"LaTurner, Jake",R,Appropriations|Oversight and Accountability,https://laturner.house.gov
168,Kansas,3rd,"Davids, Sharice",D,Agriculture|Transportation and Infrastructure|Small Business,https://davids.house.gov/
169,Kansas,4th,"Estes, Ron",R,Budget|Education and the Workforce|Ways and Means,https://estes.house.gov/
170,Kentucky,1st,"Comer, James",R,Education and the Workforce|Oversight and Accountability,https://comer.house.gov/
171,Kentucky,2nd,"Guthrie, Brett",R,Energy and Commerce,https://guthrie.house.gov/
172,Kentucky,3rd,"McGarvey, Morgan",D,Small Business|Veterans' Affairs,https://mcgarvey.house.gov
173,Kentucky,4th,"Massie, Thomas",R,Select Subcommittee on the Weaponization of the Fed Govt|Judiciary|Transportation and Infrastructure|Rules,https://massie.house.gov
174,Kentucky,5th,"Rogers, Harold",R,Appropriations,https://halrogers.house.gov/
175,Kentucky,6th,"Barr, Andy",R,Financial Services|Foreign Affairs|Select Comm on the Strategic Competition US and China,https://barr.house.gov/
176,Louisiana,1st,"Scalise, Steve",R,,https://scalise.house.gov/
177,Louisiana,2nd,"Carter, Troy",D,Homeland Security|Transportation and Infrastructure,https://troycarter.house.gov
178,Louisiana,3rd,"Higgins, Clay",R,Armed Services|Oversight and Accountability|Homeland Security,https://clayhiggins.house.gov
179,Louisiana,4th,"Johnson, Mike",R,,https://mikejohnson.house.gov
180,Louisiana,5th,"Letlow, Julia",R,Appropriations|Education and the Workforce,https://letlow.house.gov
181,Louisiana,6th,"Graves, Garret",R,Natural Resources|Transportation and Infrastructure,https://garretgraves.house.gov/
182,Maine,1st,"Pingree, Chellie",D,Agriculture|Appropriations,https://pingree.house.gov/
183,Maine,2nd,"Golden, Jared",D,Armed Services|Small Business,https://golden.house.gov
184,Maryland,1st,"Harris, Andy",R,Appropriations,https://harris.house.gov/
185,Maryland,2nd,"Ruppersberger, C.",D,Appropriations,https://ruppersberger.house.gov
186,Maryland,3rd,"Sarbanes, John",D,Energy and Commerce,https://sarbanes.house.gov/
187,Maryland,4th,"Ivey, Glenn",D,Homeland Security|Judiciary|Ethics,https://ivey.house.gov
188,Maryland,5th,"Hoyer, Steny",D,Appropriations,https://hoyer.house.gov/
189,Maryland,6th,"Trone, David",D,Appropriations|Budget,https://trone.house.gov
190,Maryland,7th,"Mfume, Kweisi",D,Foreign Affairs|Oversight and Accountability|Select Subcommittee on the Coronavirus Pandemic,https://mfume.house.gov/
191,Maryland,8th,"Raskin, Jamie",D,Oversight and Accountability,https://raskin.house.gov
192,Massachusetts,1st,"Neal, Richard",D,Joint Committee on Taxation|Ways and Means,https://neal.house.gov/
193,Massachusetts,2nd,"McGovern, James",D,Agriculture|Rules,https://mcgovern.house.gov/
194,Massachusetts,3rd,"Trahan, Lori",D,Energy and Commerce,https://trahan.house.gov
195,Massachusetts,4th,"Auchincloss, Jake",D,Transportation and Infrastructure|Select Comm on the Strategic Competition US and China,https://auchincloss.house.gov
196,Massachusetts,5th,"Clark, Katherine",D,,https://katherineclark.house.gov/index.cfm/home
197,Massachusetts,6th,"Moulton, Seth",D,Armed Services|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China,https://moulton.house.gov/
198,Massachusetts,7th,"Pressley, Ayanna",D,Financial Services|Oversight and Accountability,https://pressley.house.gov
199,Massachusetts,8th,"Lynch, Stephen",D,Financial Services|Select Subcommittee on the Weaponization of the Fed Govt|Oversight and Accountability,https://lynch.house.gov/
200,Massachusetts,9th,"Keating, William",D,Armed Services|Foreign Affairs,https://keating.house.gov/
201,Michigan,1st,"Bergman, Jack",R,Armed Services|Budget|Veterans' Affairs,https://bergman.house.gov
202,Michigan,2nd,"Moolenaar, John",R,Appropriations|Select Comm on the Strategic Competition US and China,https://moolenaar.house.gov/
203,Michigan,3rd,"Scholten, Hillary",D,Transportation and Infrastructure|Small Business,https://scholten.house.gov
204,Michigan,4th,"Huizenga, Bill",R,Financial Services|Foreign Affairs,https://huizenga.house.gov/
205,Michigan,5th,"Walberg, Tim",R,Education and the Workforce|Energy and Commerce,https://walberg.house.gov/
206,Michigan,6th,"Dingell, Debbie",D,Energy and Commerce|Natural Resources|Select Subcommittee on the Coronavirus Pandemic,https://debbiedingell.house.gov/
207,Michigan,7th,"Slotkin, Elissa",D,Agriculture|Armed Services,https://slotkin.house.gov/
208,Michigan,8th,"Kildee, Daniel",D,Budget|Ways and Means,https://dankildee.house.gov
209,Michigan,9th,"McClain, Lisa",R,Armed Services|Budget|Education and the Workforce|Oversight and Accountability,https://mcclain.house.gov
210,Michigan,10th,"James, John",R,Foreign Affairs|Energy and Commerce,https://james.house.gov
211,Michigan,11th,"Stevens, Haley",D,"Education and the Workforce|Science, Space, and Technology|Select Comm on the Strategic Competition US and China",https://stevens.house.gov/
212,Michigan,12th,"Tlaib, Rashida",D,Financial Services|Oversight and Accountability,https://tlaib.house.gov/
213,Michigan,13th,"Thanedar, Shri",D,Homeland Security|Small Business,https://thanedar.house.gov
214,Minnesota,1st,"Finstad, Brad",R,Agriculture|Armed Services,https://finstad.house.gov/
215,Minnesota,2nd,"Craig, Angie",D,Agriculture|Energy and Commerce,https://craig.house.gov
216,Minnesota,3rd,"Phillips, Dean",D,Foreign Affairs|Small Business,https://phillips.house.gov/
217,Minnesota,4th,"McCollum, Betty",D,Appropriations,https://mccollum.house.gov
