,representative_name,representative_state,representative_party,representative_committee,link,issues_catched
0,"Carl, Jerry",Alabama,R,Appropriations|Natural Resources,https://carl.house.gov/,
1,"Sewell, Terri",Alabama,D,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means,https://sewell.house.gov/,"['Economy', 'Education', 'Healthcare', 'Jobs and Workforce Development', 'Veterans', 'Voting Rights']"
2,"Palmer, Gary",Alabama,R,Oversight and Accountability|Energy and Commerce,https://palmer.house.gov/,
3,"Strong, Dale",Alabama,R,"Armed Services|Homeland Security|Science, Space, and Technology",https://strong.house.gov/,
4,"Moore, Barry",Alabama,R,Agriculture|Judiciary,https://barrymoore.house.gov/,
5,"Radewagen, Aumua Amata",American Samoa,R,Foreign Affairs|Natural Resources|Veterans' Affairs,https://radewagen.house.gov/,
6,"Aderholt, Robert",Alabama,R,Appropriations,https://aderholt.house.gov/,
7,"Peltola, Mary",Alaska,D,Natural Resources|Transportation and Infrastructure,https://peltola.house.gov/,
8,"Schweikert, David",Arizona,R,Ways and Means,https://schweikert.house.gov/,
9,"Gallego, Ruben",Arizona,D,Armed Services|Natural Resources,https://rubengallego.house.gov/,
10,"Crane, Elijah",Arizona,R,Homeland Security|Small Business|Veterans' Affairs,https://crane.house.gov/,
11,"Rogers, Mike",Alabama,R,Armed Services,https://mikerogers.house.gov/,
12,"Stanton, Greg",Arizona,D,Foreign Affairs|Transportation and Infrastructure,https://stanton.house.gov/,
13,"Biggs, Andy",Arizona,R,Oversight and Accountability|Judiciary,https://biggs.house.gov/,
14,"Ciscomani, Juan",Arizona,R,Appropriations|Veterans' Affairs,https://ciscomani.house.gov/,
15,"Grijalva, Raul",Arizona,D,Education and the Workforce|Natural Resources,https://grijalva.house.gov/,
16,"Gosar, Paul",Arizona,R,Oversight and Accountability|Natural Resources,https://gosar.house.gov/,
17,"LaMalfa, Doug",California,R,Agriculture|Natural Resources|Transportation and Infrastructure,https://lamalfa.house.gov/,
18,"Westerman, Bruce",Arkansas,R,Natural Resources|Transportation and Infrastructure,https://westerman.house.gov/,
19,"Hill, J.",Arkansas,R,Financial Services|Foreign Affairs|Intelligence,https://hill.house.gov/,
20,"Huffman, Jared",California,D,Natural Resources|Transportation and Infrastructure,https://huffman.house.gov/,
21,"Womack, Steve",Arkansas,R,Appropriations,https://womack.house.gov/,
22,"McClintock, Tom",California,R,Budget|Natural Resources|Judiciary,https://mcclintock.house.gov/,
23,"Thompson, Mike",California,D,Ways and Means,https://mikethompson.house.gov/,
24,"Harder, Josh",California,D,Appropriations,https://harder.house.gov/,
25,"DeSaulnier, Mark",California,D,Education and the Workforce|Transportation and Infrastructure|Ethics,https://desaulnier.house.gov/,
26,"Bera, Ami",California,D,Foreign Affairs|Intelligence|Select Subcommittee on the Coronavirus Pandemic,https://bera.house.gov/,
27,"Pelosi, Nancy",California,D,,https://pelosi.house.gov/,
28,"Lee, Barbara",California,D,Appropriations|Budget,https://lee.house.gov/,
29,"Swalwell, Eric",California,D,Homeland Security|Judiciary,https://swalwell.house.gov/,
30,"Matsui, Doris",California,D,Energy and Commerce,https://matsui.house.gov/,
31,"Eshoo, Anna",California,D,Energy and Commerce,https://eshoo.house.gov/,
32,"Panetta, Jimmy",California,D,Armed Services|Budget|Ways and Means,https://panetta.house.gov/,
33,"Duarte, John",California,R,Agriculture|Natural Resources|Transportation and Infrastructure,https://duarte.house.gov/,
34,"Khanna, Ro",California,D,Armed Services|Oversight and Accountability|Select Comm on the Strategic Competition US and China,https://khanna.house.gov/,
35,"Lofgren, Zoe",California,D,"Judiciary|Science, Space, and Technology",https://lofgren.house.gov/,
36,"Fong, Vince",California,R,"Transportation and Infrastructure|Science, Space, and Technology",https://fong.house.gov/,
37,"Mullin, Kevin",California,D,"Natural Resources|Science, Space, and Technology",https://kevinmullin.house.gov/,
38,"Obernolte, Jay",California,R,"Energy and Commerce|Science, Space, and Technology",https://obernolte.house.gov/,
39,"Costa, Jim",California,D,Agriculture|Foreign Affairs,https://costa.house.gov/,
40,"Ruiz, Raul",California,D,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic,https://ruiz.house.gov/,
41,"Valadao, David",California,R,Appropriations|Budget|Joint Committee of Congress on the Library,https://valadao.house.gov/,
42,"Carbajal, Salud",California,D,Agriculture|Armed Services|Transportation and Infrastructure,https://carbajal.house.gov/,
43,"Cardenas, Tony",California,D,Energy and Commerce,https://cardenas.house.gov/,
44,"Chu, Judy",California,D,Small Business|Ways and Means,https://chu.house.gov/,
45,"Garcia, Mike",California,R,"Appropriations|Intelligence|Science, Space, and Technology",https://mikegarcia.house.gov/,
46,"Schiff, Adam",California,D,Judiciary,https://schiff.house.gov/,
47,"Napolitano, Grace",California,D,Natural Resources|Transportation and Infrastructure,https://napolitano.house.gov/,
48,"Sherman, Brad",California,D,Financial Services|Foreign Affairs,https://sherman.house.gov/,
49,"Brownley, Julia",California,D,Transportation and Infrastructure|Veterans' Affairs,https://juliabrownley.house.gov/,
50,"Torres, Norma",California,D,Appropriations|House Administration,https://torres.house.gov/,
51,"Gomez, Jimmy",California,D,Intelligence|Ways and Means,https://gomez.house.gov/,
52,"Lieu, Ted",California,D,Foreign Affairs|Judiciary,https://lieu.house.gov/,
53,"Kamlager-Dove, Sydney",California,D,Foreign Affairs|Natural Resources,https://kamlager-dove.house.gov/,
54,"Sanchez, Linda",California,D,Select Subcommittee on the Weaponization of the Fed Govt|Ways and Means,https://lindasanchez.house.gov/,
55,"Takano, Mark",California,D,Education and the Workforce|Veterans' Affairs,https://takano.house.gov/,
56,"Aguilar, Pete",California,D,Appropriations,https://aguilar.house.gov/,
57,"Calvert, Ken",California,R,Appropriations,https://calvert.house.gov/,
58,"Garcia, Robert",California,D,Oversight and Accountability|Homeland Security|Select Subcommittee on the Coronavirus Pandemic,https://robertgarcia.house.gov/,
59,"Waters, Maxine",California,D,Financial Services,https://waters.house.gov/,
60,"Kim, Young",California,R,Financial Services|Foreign Affairs,https://youngkim.house.gov/,
61,"Steel, Michelle",California,R,Education and the Workforce|Ways and Means|Select Comm on the Strategic Competition US and China,https://steel.house.gov/,
62,"Correa, J.",California,D,Homeland Security|Judiciary,https://correa.house.gov/,
63,"Porter, Katie",California,D,Oversight and Accountability|Natural Resources,https://porter.house.gov/,
64,"Barragan, Nanette",California,D,Energy and Commerce,https://barragan.house.gov/,
65,"Levin, Mike",California,D,Natural Resources|Veterans' Affairs,https://levin.house.gov/,
66,"Peters, Scott",California,D,Budget|Energy and Commerce,https://scottpeters.house.gov/,"['Civil Rights', 'Climate, Energy, & Environment', 'Education', 'Government Reform', 'Growing Our Innovation Economy', 'Health Care', 'Housing & Homelessness', 'Jobs & Economy', 'National Security & Defense', ""President's Administration"", 'Seniors', 'Veterans']"
67,"Issa, Darrell",California,R,"Foreign Affairs|Select Subcommittee on the Weaponization of the Fed Govt|Judiciary|Science, Space, and Technology",https://issa.house.gov/,
68,"Vargas, Juan",California,D,Financial Services,https://vargas.house.gov/,
69,"Jacobs, Sara",California,D,Armed Services|Foreign Affairs,https://sarajacobs.house.gov/,
70,"Lopez, Greg",Colorado,R,"Budget|Science, Space, and Technology",https://lopez.house.gov/,
71,"DeGette, Diana",Colorado,D,Energy and Commerce,https://degette.house.gov/,
72,"Crawford, Eric",Arkansas,R,"Agriculture|Intelligence|Transportation and Infrastructure|Science, Space, and Technology",https://crawford.house.gov/,
73,"Lamborn, Doug",Colorado,R,Armed Services|Natural Resources,https://lamborn.house.gov/,
74,"Lesko, Debbie",Arizona,R,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic,https://lesko.house.gov/,
75,"Boebert, Lauren",Colorado,R,Oversight and Accountability|Natural Resources,https://boebert.house.gov/,
76,"Caraveo, Yadira",Colorado,D,"Agriculture|Science, Space, and Technology",https://caraveo.house.gov/,
77,"Crow, Jason",Colorado,D,Foreign Affairs|Intelligence,https://crow.house.gov/,
78,"Larson, John",Connecticut,D,Ways and Means,https://larson.house.gov/,
79,"Courtney, Joe",Connecticut,D,Armed Services|Education and the Workforce,https://courtney.house.gov/,
80,"Himes, James",Connecticut,D,Financial Services|Intelligence,https://himes.house.gov/,"['Climate & Environment', 'Economic Disparity and Fairness in Growth', 'Economy & Jobs', 'Education', 'Financial Services', 'Foreign Affairs & National Security', 'Gun Violence Prevention', 'Health Care', 'House Permanent Select Committee on Intelligence', 'Immigration', 'LGBTQ+ Equality', 'Seniors', 'Transportation & Infrastructure', 'Veterans', 'Voting Rights', 'Womenâ€™s Health and Rights']"
81,"Garamendi, John",California,D,Armed Services|Select Subcommittee on the Weaponization of the Fed Govt|Transportation and Infrastructure,https://garamendi.house.gov/,
82,"DeLauro, Rosa",Connecticut,D,Appropriations,https://delauro.house.gov/,
83,"Pettersen, Brittany",Colorado,D,Financial Services,https://pettersen.house.gov/,
84,"Blunt Rochester, Lisa",Delaware,D,Energy and Commerce,https://bluntrochester.house.gov/,
85,"Dunn, Neal",Florida,R,Energy and Commerce|Select Comm on the Strategic Competition US and China,https://dunn.house.gov/,
86,"Cammack, Kat",Florida,R,Agriculture|Select Subcommittee on the Weaponization of the Fed Govt|Energy and Commerce,https://cammack.house.gov/,
87,"Gaetz, Matt",Florida,R,Armed Services|Select Subcommittee on the Weaponization of the Fed Govt|Judiciary,https://gaetz.house.gov/,
88,"Bean, Aaron",Florida,R,Education and the Workforce|Transportation and Infrastructure|Small Business,https://bean.house.gov/,
89,"Rutherford, John",Florida,R,Appropriations|Ethics,https://rutherford.house.gov/,
90,"Hayes, Jahana",Connecticut,D,Agriculture|Education and the Workforce,https://hayes.house.gov/,"['Agriculture', 'Civil Rights', 'Climate and Environment', 'Education', 'Gun Violence Prevention', 'Health', 'Housing', 'Infrastructure', 'Labor and Jobs', 'Military and Veterans', 'Nutrition', 'Small Business']"
91,"Mills, Cory",Florida,R,Armed Services|Foreign Affairs,https://mills.house.gov/,
92,"Waltz, Michael",Florida,R,Armed Services|Foreign Affairs|Oversight and Accountability|Intelligence,https://waltz.house.gov/,
93,"Soto, Darren",Florida,D,Agriculture|Energy and Commerce,https://soto.house.gov/,
94,"Frost, Maxwell",Florida,D,"Oversight and Accountability|Science, Space, and Technology",https://frost.house.gov/,
95,"Bilirakis, Gus",Florida,R,Energy and Commerce,https://bilirakis.house.gov/,
96,"Posey, Bill",Florida,R,"Financial Services|Science, Space, and Technology",https://posey.house.gov/,
97,"Buchanan, Vern",Florida,R,Joint Committee on Taxation|Ways and Means,https://buchanan.house.gov/,"['Funding Requests', 'Health Care', 'Immigration', 'Jobs & Economy', 'National Security', 'Social Security', 'Trade', 'Veterans']"
98,"Castor, Kathy",Florida,D,Energy and Commerce|Select Comm on the Strategic Competition US and China,https://castor.house.gov/,
99,"Luna, Anna Paulina",Florida,R,Oversight and Accountability|Natural Resources,https://luna.house.gov/,
100,"Franklin, Scott",Florida,R,"Appropriations|Science, Space, and Technology|Veterans' Affairs",https://franklin.house.gov/,"['Agriculture', 'Conservative Values', 'Defense', 'Economy', 'Education', 'Energy', 'Healthcare', 'Second Amendment Rights', 'Veterans']"
101,"Kiley, Kevin",California,R,Education and the Workforce|Judiciary|Transportation and Infrastructure,https://kiley.house.gov/,
102,"Lee, Laurel",Florida,R,House Administration|Homeland Security|Judiciary,https://laurellee.house.gov/,
103,"Steube, W.",Florida,R,Select Subcommittee on the Weaponization of the Fed Govt|Ways and Means,https://steube.house.gov/,
104,"Cherfilus-McCormick, Sheila",Florida,D,Foreign Affairs|Veterans' Affairs,https://cherfilus-mccormick.house.gov/,
105,"Donalds, Byron",Florida,R,Financial Services|Oversight and Accountability,https://donalds.house.gov/,
106,"Mast, Brian",Florida,R,Foreign Affairs|Transportation and Infrastructure,https://mast.house.gov/,
107,"Wasserman Schultz, Debbie",Florida,D,Appropriations|Select Subcommittee on the Weaponization of the Fed Govt,https://wassermanschultz.house.gov/,
108,"Diaz-Balart, Mario",Florida,R,Appropriations,https://mariodiazbalart.house.gov/,
109,"Moskowitz, Jared",Florida,D,Foreign Affairs|Oversight and Accountability,https://moskowitz.house.gov/,
110,"Frankel, Lois",Florida,D,Appropriations,https://frankel.house.gov/,
111,"Salazar, Maria",Florida,R,Foreign Affairs|Small Business,https://salazar.house.gov/,
112,"Gimenez, Carlos",Florida,R,Armed Services|Homeland Security|Select Comm on the Strategic Competition US and China,https://gimenez.house.gov/,
113,"Bishop, Sanford",Georgia,D,Agriculture|Appropriations,https://bishop.house.gov/,
114,"Wilson, Frederica",Florida,D,Education and the Workforce|Transportation and Infrastructure,https://wilson.house.gov/,
115,"Johnson, Henry",Georgia,D,Judiciary|Transportation and Infrastructure,https://hankjohnson.house.gov/,
116,"Carter, Earl",Georgia,R,Budget|Energy and Commerce,https://buddycarter.house.gov/,
117,"Ferguson, A.",Georgia,R,Budget|Ways and Means,https://ferguson.house.gov/,
118,"McBath, Lucy",Georgia,D,Education and the Workforce|Judiciary,https://mcbath.house.gov/,
119,"McCormick, Richard",Georgia,R,"Armed Services|Foreign Affairs|Science, Space, and Technology|Select Subcommittee on the Coronavirus Pandemic",https://mccormick.house.gov/,
120,"Collins, Mike",Georgia,R,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology",https://collins.house.gov/,
121,"Scott, Austin",Georgia,R,Agriculture|Armed Services|Intelligence|Rules,https://austinscott.house.gov/,"['Abortion', 'Agriculture', 'Budget & Debt', 'Defense & National Security', 'Economy and Jobs', 'Education', 'Energy', 'Foreign Affairs', 'Health Care', 'How Congress Works', 'Immigration', 'Second Amendment', 'Social Security', ""Sportsmen's Issues"", 'Tax Reform', 'Trade', 'Veterans']"
122,"Loudermilk, Barry",Georgia,R,Financial Services|House Administration,https://loudermilk.house.gov/,
123,"Clyde, Andrew",Georgia,R,Appropriations,https://clyde.house.gov/,
124,"Allen, Rick",Georgia,R,Education and the Workforce|Energy and Commerce,https://allen.house.gov/,
125,"Scott, David",Georgia,D,Agriculture|Financial Services,https://davidscott.house.gov/,
126,"Moylan, James",Guam,R,Armed Services|Foreign Affairs|Natural Resources,https://moylan.house.gov/,
127,"Greene, Marjorie",Georgia,R,Oversight and Accountability|Homeland Security|Select Subcommittee on the Coronavirus Pandemic,https://greene.house.gov/,
128,"Tokuda, Jill",Hawaii,D,Agriculture|Armed Services|Select Subcommittee on the Coronavirus Pandemic,https://tokuda.house.gov/,
129,"Case, Ed",Hawaii,D,Appropriations|Natural Resources,https://case.house.gov/,
130,"Jackson, Jonathan",Illinois,D,Agriculture|Foreign Affairs,https://jonathanjackson.house.gov/,
131,"Kelly, Robin",Illinois,D,Energy and Commerce,https://robinkelly.house.gov/,
132,"Simpson, Michael",Idaho,R,Appropriations,https://simpson.house.gov/,
133,"Neguse, Joe",Colorado,D,Natural Resources|Judiciary|Rules,https://neguse.house.gov/,
134,"Ramirez, Delia",Illinois,D,Homeland Security|Veterans' Affairs,https://ramirez.house.gov/,
135,"Garcia, Jesus",Illinois,D,Judiciary|Transportation and Infrastructure,https://chuygarcia.house.gov/,
136,"Quigley, Mike",Illinois,D,Appropriations,https://quigley.house.gov/,
137,"Casten, Sean",Illinois,D,"Financial Services|Science, Space, and Technology",https://casten.house.gov/,
138,"Schakowsky, Janice",Illinois,D,Budget|Energy and Commerce,https://schakowsky.house.gov/,
139,"Krishnamoorthi, Raja",Illinois,D,Oversight and Accountability|Intelligence|Select Comm on the Strategic Competition US and China,https://krishnamoorthi.house.gov/,
140,"Schneider, Bradley",Illinois,D,Foreign Affairs|Ways and Means,https://schneider.house.gov/,
141,"Foster, Bill",Illinois,D,Financial Services,https://foster.house.gov/,
142,"Bost, Mike",Illinois,R,Agriculture|Transportation and Infrastructure|Veterans' Affairs,https://bost.house.gov/,
143,"Davis, Danny",Illinois,D,Ways and Means,https://davis.house.gov/,
144,"Miller, Mary",Illinois,R,Agriculture|Education and the Workforce,https://marymiller.house.gov/,
145,"Sorensen, Eric",Illinois,D,"Agriculture|Science, Space, and Technology",https://sorensen.house.gov/,
146,"Mrvan, Frank",Indiana,D,Education and the Workforce|Veterans' Affairs,https://mrvan.house.gov/,
147,"Banks, Jim",Indiana,R,Armed Services|Education and the Workforce|Select Comm on the Strategic Competition US and China,https://banks.house.gov/,
148,"Norton, Eleanor",District of Columbia,D,Oversight and Accountability|Transportation and Infrastructure,https://norton.house.gov/,
149,"Spartz, Victoria",Indiana,R,Judiciary,https://spartz.house.gov/,
150,"Baird, James",Indiana,R,"Agriculture|Foreign Affairs|Science, Space, and Technology",https://baird.house.gov/,
151,"Pence, Greg",Indiana,R,Energy and Commerce,https://pence.house.gov/,
152,"Webster, Daniel",Florida,R,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology",https://webster.house.gov/,
153,"Carson, Andre",Indiana,D,Intelligence|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China,https://carson.house.gov/,
154,"Houchin, Erin",Indiana,R,Financial Services|Education and the Workforce|Rules,https://houchin.house.gov/,
155,"Miller-Meeks, Mariannette",Iowa,R,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic|Veterans' Affairs,https://millermeeks.house.gov/,
156,"Bucshon, Larry",Indiana,R,Energy and Commerce,https://bucshon.house.gov/,
157,"Hinson, Ashley",Iowa,R,Appropriations|Select Comm on the Strategic Competition US and China,https://hinson.house.gov/,
158,"Feenstra, Randy",Iowa,R,Agriculture|Ways and Means,https://feenstra.house.gov/,
159,"Mann, Tracey",Kansas,R,Agriculture|Transportation and Infrastructure|Small Business,https://mann.house.gov/,
160,"Nunn, Zachary",Iowa,R,Agriculture|Financial Services,https://nunn.house.gov/,
161,"LaTurner, Jake",Kansas,R,Appropriations|Oversight and Accountability,https://laturner.house.gov/,
162,"Comer, James",Kentucky,R,Education and the Workforce|Oversight and Accountability,https://comer.house.gov/,
163,"Davids, Sharice",Kansas,D,Agriculture|Transportation and Infrastructure|Small Business,https://davids.house.gov/,
164,"Williams, Nikema",Georgia,D,Financial Services,https://nikemawilliams.house.gov/,
165,"Estes, Ron",Kansas,R,Budget|Education and the Workforce|Ways and Means,https://estes.house.gov/,
166,"Guthrie, Brett",Kentucky,R,Energy and Commerce,https://guthrie.house.gov/,
167,"McGarvey, Morgan",Kentucky,D,Small Business|Veterans' Affairs,https://mcgarvey.house.gov/,
168,"Rogers, Harold",Kentucky,R,Appropriations,https://halrogers.house.gov/,
169,"Massie, Thomas",Kentucky,R,Select Subcommittee on the Weaponization of the Fed Govt|Judiciary|Transportation and Infrastructure|Rules,https://massie.house.gov/,
170,"Scalise, Steve",Louisiana,R,,https://scalise.house.gov/,
171,"Carter, Troy",Louisiana,D,Homeland Security|Transportation and Infrastructure,https://troycarter.house.gov/,
172,"Higgins, Clay",Louisiana,R,Armed Services|Oversight and Accountability|Homeland Security,https://clayhiggins.house.gov/,
173,"Underwood, Lauren",Illinois,D,Appropriations,https://underwood.house.gov/,
174,"Graves, Garret",Louisiana,R,Natural Resources|Transportation and Infrastructure,https://garretgraves.house.gov/,
175,"Johnson, Mike",Louisiana,R,,https://mikejohnson.house.gov/,
176,"Golden, Jared",Maine,D,Armed Services|Small Business,https://golden.house.gov/,
177,"Pingree, Chellie",Maine,D,Agriculture|Appropriations,https://pingree.house.gov/,
178,"Harris, Andy",Maryland,R,Appropriations,https://harris.house.gov/,
179,"Ruppersberger, C.",Maryland,D,Appropriations,https://ruppersberger.house.gov/,
180,"Ivey, Glenn",Maryland,D,Homeland Security|Judiciary|Ethics,https://ivey.house.gov/,
181,"Sarbanes, John",Maryland,D,Energy and Commerce,https://sarbanes.house.gov/,
182,"Hoyer, Steny",Maryland,D,Appropriations,https://hoyer.house.gov/,
183,"Mfume, Kweisi",Maryland,D,Foreign Affairs|Oversight and Accountability|Select Subcommittee on the Coronavirus Pandemic,https://mfume.house.gov/,
184,"Budzinski, Nikki",Illinois,D,Agriculture|Veterans' Affairs,https://budzinski.house.gov/,
185,"Raskin, Jamie",Maryland,D,Oversight and Accountability,https://raskin.house.gov/,
186,"Yakym, Rudy",Indiana,R,Budget|Transportation and Infrastructure,https://yakym.house.gov/,
187,"Neal, Richard",Massachusetts,D,Joint Committee on Taxation|Ways and Means,https://neal.house.gov/,
188,"Auchincloss, Jake",Massachusetts,D,Transportation and Infrastructure|Select Comm on the Strategic Competition US and China,https://auchincloss.house.gov/,
189,"Trahan, Lori",Massachusetts,D,Energy and Commerce,https://trahan.house.gov/,
190,"Moulton, Seth",Massachusetts,D,Armed Services|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China,https://moulton.house.gov/,
191,"McGovern, James",Massachusetts,D,Agriculture|Rules,https://mcgovern.house.gov/,
192,"Barr, Andy",Kentucky,R,Financial Services|Foreign Affairs|Select Comm on the Strategic Competition US and China,https://barr.house.gov/,
193,"Pressley, Ayanna",Massachusetts,D,Financial Services|Oversight and Accountability,https://pressley.house.gov/,
194,"LaHood, Darin",Illinois,R,Intelligence|Ways and Means|Select Comm on the Strategic Competition US and China,https://lahood.house.gov/,
195,"Moolenaar, John",Michigan,R,Appropriations|Select Comm on the Strategic Competition US and China,https://moolenaar.house.gov/,
196,"Bergman, Jack",Michigan,R,Armed Services|Budget|Veterans' Affairs,https://bergman.house.gov/,
197,"Scholten, Hillary",Michigan,D,Transportation and Infrastructure|Small Business,https://scholten.house.gov/,
198,"Slotkin, Elissa",Michigan,D,Agriculture|Armed Services,https://slotkin.house.gov/,
199,"Walberg, Tim",Michigan,R,Education and the Workforce|Energy and Commerce,https://walberg.house.gov/,
200,"Kildee, Daniel",Michigan,D,Budget|Ways and Means,https://dankildee.house.gov/,
201,"Dingell, Debbie",Michigan,D,Energy and Commerce|Natural Resources|Select Subcommittee on the Coronavirus Pandemic,https://debbiedingell.house.gov/,
202,"McClain, Lisa",Michigan,R,Armed Services|Budget|Education and the Workforce|Oversight and Accountability,https://mcclain.house.gov/,"['Agriculture', 'Congress', 'Education', 'Energy', 'Great Lakes', 'Health Care', 'Jobs and The Economy', 'Life', 'National Security/Military', 'Veterans']"
203,"Huizenga, Bill",Michigan,R,Financial Services|Foreign Affairs,https://huizenga.house.gov/,
204,"James, John",Michigan,R,Foreign Affairs|Energy and Commerce,https://james.house.gov/,
205,"Stevens, Haley",Michigan,D,"Education and the Workforce|Science, Space, and Technology|Select Comm on the Strategic Competition US and China",https://stevens.house.gov/,
206,"Thanedar, Shri",Michigan,D,Homeland Security|Small Business,https://thanedar.house.gov/,
207,"Letlow, Julia",Louisiana,R,Appropriations|Education and the Workforce,https://letlow.house.gov/,
208,"Finstad, Brad",Minnesota,R,Agriculture|Armed Services,https://finstad.house.gov/,"['Agriculture', 'Armed Services', 'Congress', 'Economy', 'Education', 'Energy', 'Health', 'Veterans']"
209,"Clark, Katherine",Massachusetts,D,,https://katherineclark.house.gov/index.cfm/home/,
210,"Craig, Angie",Minnesota,D,Agriculture|Energy and Commerce,https://craig.house.gov/,
211,"McCollum, Betty",Minnesota,D,Appropriations,https://mccollum.house.gov/,
212,"Phillips, Dean",Minnesota,D,Foreign Affairs|Small Business,https://phillips.house.gov/,
213,"Emmer, Tom",Minnesota,R,Financial Services,https://emmer.house.gov/,
214,"Omar, Ilhan",Minnesota,D,Budget|Education and the Workforce,https://omar.house.gov/,
215,"Stauber, Pete",Minnesota,R,Natural Resources|Transportation and Infrastructure|Small Business,https://stauber.house.gov/,
216,"Fulcher, Russ",Idaho,R,Energy and Commerce|Natural Resources,https://fulcher.house.gov/,
217,"Kelly, Trent",Mississippi,R,Agriculture|Armed Services|Intelligence,https://trentkelly.house.gov/,
